Version Number,Filename,LOC_Touched,Number_Revisions,NumberBugFix,LOC_Added,MAX_LOC_Added,ChgSetSize,Max_ChgSet,AVG_ChgSet,Avg_LOC_Added,Buggy
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/collections/RecyclableArrayListTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/component/TestComponentStarter.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/component/TestLifecycleComponentStack.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/concurrent/TestFutureUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/conf/ConfigDefTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/conf/ConfigKeyGroupTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/conf/ConfigKeyTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/conf/validators/ClassValidatorTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/conf/validators/RangeValidatorTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/net/ServiceURITest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/MoreAsserts.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/annotations/FlakyTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/executors/MockClock.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/executors/MockClockTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/executors/MockExecutorController.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/executors/MockExecutorControllerTest.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/util/TestTimedOutTestsListener.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/util/TimedOutTestsListener.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/test/java/org/apache/bookkeeper/common/testing/util/package-info.java,0,0,0,0,0,0,0,0,0,No
