Dataset,#Training,%Training,%Defect Training,%Defect Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,Under sampling,True,4786.0,110.0,140.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,Under sampling,True,7179.0,165.0,210.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,Over sampling,True,2393.0,55.0,70.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,Over sampling,True,4786.0,110.0,140.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,Over sampling,True,7179.0,165.0,210.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,RF,Smote,True,2393.0,55.0,70.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,IBk,Smote,True,4786.0,110.0,140.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,1,0.5127265322744858,0.049642573471008734,0.07062264939406603,NB,Smote,True,7179.0,165.0,210.0,0.0,0.9775326797385621,1.0,0.78,0.7075246562902575
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,RF,No sampling,False,4617.0,82.0,212.0,0.0,0.9825494786124708,1.0,0.9203247684172218,0.8293859704869277
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,IBk,No sampling,False,9209.0,163.0,425.0,25.0,0.9826077678190355,0.9972926142516786,0.852884802393992,0.8089665711983692
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,NB,No sampling,False,13635.0,240.0,642.0,216.0,0.9827027027027027,0.9844054580896686,0.8620797126397547,0.7214877032115367
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,RF,Under sampling,False,4610.0,81.0,213.0,7.0,0.9827328927733958,0.99848386398094,0.9360854369904774,0.8195460842943363
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,IBk,Under sampling,False,9179.0,145.0,443.0,55.0,0.9844487344487345,0.9940437513536928,0.8880854215197017,0.8051392296274075
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,NB,Under sampling,False,13599.0,220.0,662.0,252.0,0.9840798900065127,0.98180636777128,0.8831412910747048,0.7201413448039558
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,RF,Over sampling,False,4617.0,82.0,212.0,0.0,0.9825494786124708,1.0,0.8740741477444346,0.8293859704869277
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,IBk,Over sampling,False,9208.0,163.0,425.0,26.0,0.9826059118557251,0.9971843188217457,0.829931880701165,0.8081220654074217
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,NB,Over sampling,False,13628.0,237.0,645.0,223.0,0.9829065993508835,0.9839000794166486,0.8487537266970417,0.7205470748772926
BOOKKEEPER,2,0.6659886086248983,0.05986560781918143,0.07714169711733658,RF,Smote,False,4617.0,82.0,212.0,0.0,0.9825494786124708,1.0,0.923093300564757,0.8293859704869277
